Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf YTD,Perf Year,Perf 3Y,Perf 5Y,Perf 10Y,Volatility W,Volatility M,Avg Volume,Rel Volume,Price_perf,Change_perf,Volume_perf,SCORE
CHRW,"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics,USA,23030000000.0,40.34,194.95,0.0063,4240344.0,0.1035,0.20370000000000002,0.5068,0.6905,0.2127,0.8062999999999999,101.31%,96.28%,203.52%,0.0366,0.0253,1700000.0,2.49,194.95,0.0063,4240344.0,89
DECK,Deckers Outdoor Corp,Consumer Cyclical,Footwear & Accessories,USA,17390000000.0,16.87,119.34,0.1946,9768810.0,0.1936,0.1362,0.42340000000000005,0.124,0.1512,-0.4548,70.26%,127.77%,1450.54%,0.046,0.037200000000000004,3270000.0,2.99,119.34,0.1946,9768810.0,82
LUV,Southwest Airlines Co,Industrials,Airlines,USA,24580000000.0,55.83,47.52,-0.0202,14685033.0,0.1328,0.1514,0.5499,0.5364,0.14980000000000002,0.5014,28.89%,4.16%,21.85%,0.057300000000000004,0.0334,9470000.0,1.55,47.52,-0.0202,14685033.0,80
LMT,Lockheed Martin Corp,Industrials,Aerospace & Defense,USA,145920000000.0,29.52,634.22,0.018799999999999997,2099633.0,0.0735,0.29960000000000003,0.3068,0.5065,0.31129999999999997,0.39590000000000003,39.65%,84.63%,199.10%,0.0393,0.0338,1600000.0,1.31,634.22,0.018799999999999997,2099633.0,80
WDC,Western Digital Corp,Technology,Computer Hardware,USA,85550000000.0,25.12,250.23,-0.1012,21695142.0,0.058499999999999996,0.4213,0.7698999999999999,2.1799,0.4525,4.2732,701.64%,545.78%,640.01%,0.09359999999999999,0.0785,8930000.0,2.43,250.23,-0.1012,21695142.0,79
STX,Seagate Technology Holdings Plc,Technology,Computer Hardware,USA,87070000000.0,46.1,407.69,-0.08710000000000001,9224411.0,0.17800000000000002,0.4556,0.5349,1.5966,0.4804,3.1023,554.92%,566.27%,1359.68%,0.0969,0.0717,4290000.0,2.15,407.69,-0.08710000000000001,9224411.0,79
BEN,"Franklin Resources, Inc",Financial,Asset Management,USA,13880000000.0,24.5,26.62,0.0286,24424889.0,0.0518,0.1157,0.1604,0.1092,0.1143,0.32770000000000005,-11.83%,0.41%,-15.02%,0.0317,0.024900000000000002,4370000.0,5.59,26.62,0.0286,24424889.0,78
TER,"Teradyne, Inc",Technology,Semiconductor Equipment & Materials,USA,37750000000.0,87.73,241.05,-0.043,3704527.0,0.0518,0.2257,0.3858,1.2438,0.24539999999999998,0.975,133.03%,72.04%,1118.66%,0.044800000000000006,0.0391,3090000.0,1.2,241.05,-0.043,3704527.0,77
CVX,Chevron Corp,Energy,Oil & Gas Integrated,USA,356190000000.0,26.6,176.9,0.0334,22946582.0,0.0611,0.16140000000000002,0.1406,0.1666,0.1607,0.1362,-1.22%,94.61%,111.75%,0.0194,0.0212,9740000.0,2.36,176.9,0.0334,22946582.0,77
XOM,Exxon Mobil Corp,Energy,Oil & Gas Integrated,USA,596310000000.0,21.13,141.4,0.0063,29657667.0,0.047599999999999996,0.16870000000000002,0.2143,0.2666,0.175,0.3012,24.90%,201.49%,84.67%,0.0204,0.0206,16690000.000000002,1.78,141.4,0.0063,29657667.0,76
LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials,USA,291540000000.0,47.85,233.46,-0.0593,18352886.0,0.0712,0.34340000000000004,0.45299999999999996,1.4616,0.3638,2.1066,378.01%,311.19%,3297.26%,0.0533,0.0473,11620000.0,1.58,233.46,-0.0593,18352886.0,75
FCX,Freeport-McMoRan Inc,Basic Materials,Copper,USA,86490000000.0,39.78,60.23,-0.07519999999999999,40774422.0,-0.003,0.17300000000000001,0.4294,0.5013000000000001,0.1873,0.6716,31.85%,114.40%,1476.99%,0.054000000000000006,0.0365,17670000.0,2.31,60.23,-0.07519999999999999,40774422.0,74
TXN,Texas Instruments Inc,Technology,Semiconductors,USA,195850000000.0,39.58,215.55,-0.015600000000000001,9086826.0,0.115,0.2288,0.345,0.1905,0.24239999999999998,0.1957,23.14%,24.65%,328.53%,0.0313,0.0291,7550000.0,1.2,215.55,-0.015600000000000001,9086826.0,74
GLW,"Corning, Inc",Technology,Electronic Components,USA,88520000000.0,56.15,103.25,0.0024,13378658.0,0.1066,0.16190000000000002,0.1435,0.6327,0.17920000000000003,1.0733,190.35%,168.46%,503.80%,0.0738,0.0443,6610000.0,2.02,103.25,0.0024,13378658.0,74
MU,Micron Technology Inc,Technology,Semiconductors,USA,466950000000.0,39.44,414.88,-0.048,51022881.0,0.0381,0.4178,0.8306,2.8013999999999997,0.4536,3.661,574.16%,410.43%,3647.79%,0.06280000000000001,0.0538,29780000.0,1.71,414.88,-0.048,51022881.0,73
CL,Colgate-Palmolive Co,Consumer Defensive,Household & Personal Products,USA,72780000000.0,34.44,90.29,0.0592,13920058.0,0.04190000000000001,0.1356,0.1923,0.0768,0.1426,0.008,19.16%,14.86%,39.75%,0.020499999999999997,0.0195,6760000.0,2.06,90.29,0.0592,13920058.0,72
VZ,Verizon Communications Inc,Communication Services,Telecom Services,USA,187720000000.0,10.97,44.52,0.1183,123584682.0,0.1265,0.09390000000000001,0.1072,0.0412,0.0931,0.10529999999999999,10.39%,-23.79%,-5.36%,0.0263,0.0175,27220000.0,4.54,44.52,0.1183,123584682.0,72
CMI,Cummins Inc,Industrials,Specialty Industrial Machinery,USA,79900000000.0,30.04,578.82,-0.0088,996673.0,0.0123,0.127,0.31170000000000003,0.5745,0.13390000000000002,0.635,135.04%,134.78%,569.85%,0.0225,0.0204,888180.0,1.12,578.82,-0.0088,996673.0,68
CTRA,Coterra Energy Inc,Energy,Oil & Gas E&P,USA,21970000000.0,13.31,28.85,0.0282,13851719.0,0.052199999999999996,0.0862,0.2361,0.18289999999999998,0.09609999999999999,0.0216,16.67%,73.13%,65.60%,0.0276,0.0335,8720000.0,1.59,28.85,0.0282,13851719.0,68
GILD,"Gilead Sciences, Inc",Healthcare,Drug Manufacturers - General,USA,176110000000.0,21.99,141.95,0.0172,9460236.0,0.0443,0.1524,0.1979,0.2641,0.1565,0.485,68.85%,108.26%,54.58%,0.0241,0.028999999999999998,7270000.0,1.3,141.95,0.0172,9460236.0,68
PM,Philip Morris International Inc,Consumer Defensive,Tobacco,USA,279320000000.0,32.5,179.44,0.0087,8239609.0,0.0371,0.10800000000000001,0.22260000000000002,0.09380000000000001,0.11869999999999999,0.3847,73.51%,120.60%,106.56%,0.022099999999999998,0.0235,5580000.0,1.48,179.44,0.0087,8239609.0,68
HON,Honeywell International Inc,Industrials,Conglomerates,USA,144450000000.0,28.47,227.52,0.0012,6719516.0,0.0274,0.15869999999999998,0.1343,0.0861,0.16620000000000001,0.0925,16.85%,19.62%,159.32%,0.0191,0.021,4270000.0,1.57,227.52,0.0012,6719516.0,68
GEV,GE Vernova Inc,Industrials,Specialty Industrial Machinery,USA,195780000000.0,40.83,726.37,0.0125,3865733.0,0.1043,0.1012,0.2568,0.1001,0.1114,1.0562,-,-,-,0.053099999999999994,0.0432,3220000.0,1.2,726.37,0.0125,3865733.0,67
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,255580000000.0,37.16,322.32,-0.0557,9814060.0,-0.0002,0.2398,0.36719999999999997,0.7901,0.25420000000000004,0.8389,182.86%,198.11%,1790.44%,0.039900000000000005,0.035699999999999996,7440000.0,1.32,322.32,-0.0557,9814060.0,67
FDX,Fedex Corp,Industrials,Integrated Freight & Logistics,USA,75770000000.0,17.78,322.25,0.0073,2588614.0,0.0593,0.1072,0.2909,0.44189999999999996,0.11560000000000001,0.1716,71.58%,27.13%,152.63%,0.0219,0.0229,1740000.0,1.49,322.25,0.0073,2588614.0,67
TSN,"Tyson Foods, Inc",Consumer Defensive,Farm Products,USA,22610000000.0,48.14,65.33,0.0017000000000000001,4432795.0,0.059500000000000004,0.1039,0.28809999999999997,0.2491,0.11449999999999999,0.1542,-0.73%,-1.91%,27.55%,0.0256,0.020499999999999997,3130000.0,1.42,65.33,0.0017000000000000001,4432795.0,67
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,USA,55300000000.0,21.52,56.04,-0.012199999999999999,8618365.0,0.0393,0.2159,0.1598,0.244,0.2306,0.3011,80.77%,166.22%,91.36%,0.031,0.0313,8000000.0,1.08,56.04,-0.012199999999999999,8618365.0,65
CAH,"Cardinal Health, Inc",Healthcare,Medical Distribution,USA,51050000000.0,32.44,214.88,0.0173,2454212.0,0.031400000000000004,0.037000000000000005,0.3065,0.38439999999999996,0.045599999999999995,0.6819,183.74%,290.48%,163.37%,0.023700000000000002,0.0218,2230000.0,1.1,214.88,0.0173,2454212.0,65
NOC,Northrop Grumman Corp,Industrials,Aerospace & Defense,USA,98250000000.0,23.72,692.26,-0.0044,953190.0,0.0287,0.2048,0.1834,0.2006,0.214,0.4376,49.42%,131.25%,276.00%,0.0371,0.0356,846770.0,1.13,692.26,-0.0044,953190.0,65
HAL,Halliburton Co,Energy,Oil & Gas Equipment & Services,USA,28210000000.0,22.22,33.52,0.0039000000000000003,13557309.0,-0.0127,0.1766,0.2198,0.4964,0.1861,0.2711,-16.26%,79.92%,11.03%,0.0368,0.0369,12030000.0,1.13,33.52,0.0039000000000000003,13557309.0,65
HII,Huntington Ingalls Industries Inc,Industrials,Aerospace & Defense,USA,16500000000.0,29.05,420.51,-0.0171,476634.0,0.0046,0.2296,0.40909999999999996,0.508,0.2365,1.1801000000000001,93.91%,152.54%,242.27%,0.0291,0.0322,524330.0,0.91,420.51,-0.0171,476634.0,65
EXPD,"Expeditors International Of Washington, Inc",Industrials,Integrated Freight & Logistics,USA,21520000000.0,26.13,160.54,-0.0059,2558980.0,0.0084,0.0694,0.3655,0.3811,0.0774,0.4045,48.99%,70.84%,267.79%,0.0168,0.0179,1470000.0,1.74,160.54,-0.0059,2558980.0,64
